artifact	entry	kind	artifact_sha256	entry_sha256	entry_size_bytes	package	version_code	version_name	apk_role	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	source_url	retrieved_at	source_status
prime-video-mobile-3.0.466.2047.apk	-	apk	4f04bf217150887ec6bb503ff11f400894bb2dec311831118213d9f9802ea5ae	4f04bf217150887ec6bb503ff11f400894bb2dec311831118213d9f9802ea5ae	194568330	com.amazon.avod.thirdpartyclient	466002047	3.0.466.2047	base	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v2	false		https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient	2026-08-11T21:01:25Z	resolved
apple-tv-latest.xapk	-	xapk-container	60061ce1cc918fe8ce464fe7e4149ecb158f8470a52dc77943766c41203e0894	-	111647324	-	-	-	-	-	-	-	-	-	-	-	unresolved
apple-tv-latest.xapk	com.apple.atve.androidtv.appletv.apk	xapk-member	60061ce1cc918fe8ce464fe7e4149ecb158f8470a52dc77943766c41203e0894	6f2893c493344f0561d34f928660d3ff7a12dfed6797c47972ef59fba10bcc10	32690243	com.apple.atve.androidtv.appletv	2050085	2.5.0	base	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
apple-tv-latest.xapk	config.arm64_v8a.apk	xapk-member	60061ce1cc918fe8ce464fe7e4149ecb158f8470a52dc77943766c41203e0894	5eac94ca292a0a72cc7f4ae699fa28060f61aee550859e4ab5f7c2369a6d21db	78103878	com.apple.atve.androidtv.appletv	2050085		split:config.arm64_v8a	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
apple-tv-latest.xapk	config.en.apk	xapk-member	60061ce1cc918fe8ce464fe7e4149ecb158f8470a52dc77943766c41203e0894	dd0ea0bfd7ade562ce2dd393eb5537bf7214062b6d69ffbce5f0f52db8074d5c	528793	com.apple.atve.androidtv.appletv	2050085		split:config.en	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
apple-tv-latest.xapk	config.mdpi.apk	xapk-member	60061ce1cc918fe8ce464fe7e4149ecb158f8470a52dc77943766c41203e0894	dffa3c5392a3e5159e2b6fe0fa9f0a542d6b2967914db464c86d4c600dd50014	235957	com.apple.atve.androidtv.appletv	2050085		split:config.mdpi	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-arm64.xapk	-	xapk-container	7063362ff83543820666598746861bf2bf2f530d230e18a5c4825f2342192886	-	68902704	-	-	-	-	-	-	-	-	-	-	-	unresolved
disneyplus-arm64.xapk	com.disney.disneyplus.apk	xapk-member	7063362ff83543820666598746861bf2bf2f530d230e18a5c4825f2342192886	a2e61621fcd7715a04c5fc3d2920fbde1a108c254e4c0e79a315a68a80dd60e5	46527509	com.disney.disneyplus	178407745	26.12.1+rc1-2026.07.15	base	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-arm64.xapk	config.arm64_v8a.apk	xapk-member	7063362ff83543820666598746861bf2bf2f530d230e18a5c4825f2342192886	c8ee55ff858a5a5d094e2018ba0993ff55caa7201853ca177a06866fc3bebbbc	21570367	com.disney.disneyplus	178407745		split:config.arm64_v8a	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-arm64.xapk	config.en.apk	xapk-member	7063362ff83543820666598746861bf2bf2f530d230e18a5c4825f2342192886	826773d9baf12aa8b6f52a40a3c31ef9e2e5afca3d3163fd5ef6ba6abacd8844	287129	com.disney.disneyplus	178407745		split:config.en	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-arm64.xapk	config.xxhdpi.apk	xapk-member	7063362ff83543820666598746861bf2bf2f530d230e18a5c4825f2342192886	c182541cc8f01fc9113f1f24b7271d57b4c819f6653b0fb3f23ee524903cafbe	515778	com.disney.disneyplus	178407745		split:config.xxhdpi	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	-	xapk-container	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	-	42685347	-	-	-	-	-	-	-	-	-	-	-	unresolved
disneyplus-latest.xapk	com.disney.disneyplus.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	fb2fc6e56bee07c5129717d99dcaa7b3765332c67c0659ebc32da5ce46b7489e	24309735	com.disney.disneyplus	1785372530	26.13.0+rc6-2026.07.30	base	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.fr.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	cd60e9fe508ed851608788a3280ff238428cfd6cc5f13e5bed05255d1c0655b7	119193	com.disney.disneyplus	1785372530		split:config.fr	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.ja.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	7c88390521789caa9397caafabe883c013488d474287194ce116919db94113d9	94617	com.disney.disneyplus	1785372530		split:config.ja	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.tr.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	ae6bc71c931cb567b5580d5adecb67a71c6b8f5180227edf471944eb704aac13	90521	com.disney.disneyplus	1785372530		split:config.tr	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
